Occupation code,Occupation title,Level,Employment,Employment RSE,"Employment per 1,000 jobs",Median hourly wage,Mean hourly wage,Annual mean wage,Mean wage RSE
33-2021,Fire Inspectors and Investigators,detail,"11,940",2.6%,0.084,$28.49,$29.93,"$62,260",1.0%
33-2022,Forest Fire Inspectors and Prevention Specialists,detail,"1,960",2.1%,0.014,$17.97,$22.11,"$45,990",1.0%
33-3000,Law Enforcement Workers,minor,"1,235,290",0.4%,8.666,$26.21,$28.75,"$59,790",0.7%
33-3010,"Bailiffs, Correctional Officers, and Jailers",broad,"447,350",0.5%,3.138,$20.92,$22.86,"$47,540",0.7%
33-3011,Bailiffs,detail,"18,480",1.4%,0.130,$20.65,$22.21,"$46,190",1.0%
33-3012,Correctional Officers and Jailers,detail,"428,870",0.5%,3.009,$20.93,$22.88,"$47,600",0.7%
33-3021,Detectives and Criminal Investigators,detail,"105,350",0.3%,0.739,$38.45,$40.06,"$83,320",0.6%
33-3031,Fish and Game Wardens,detail,"6,020",2.9%,0.042,$27.12,$28.16,"$58,570",0.8%
33-3041,Parking Enforcement Workers,detail,"8,660",3.5%,0.061,$18.76,$19.63,"$40,840",1.4%
33-3050,Police Officers,broad,"667,910",0.5%,4.685,$29.41,$31.03,"$64,540",0.9%
33-3051,Police and Sheriff's Patrol Officers,detail,"662,390",0.5%,4.647,$29.35,$31.00,"$64,490",0.9%
33-3052,Transit and Railroad Police,detail,"5,520",7.1%,0.039,$33.79,$34.27,"$71,280",1.9%
33-9000,Other Protective Service Workers,minor,"1,559,360",0.7%,10.939,$13.05,$14.98,"$31,170",0.5%
33-9011,Animal Control Workers,detail,"12,700",1.3%,0.089,$17.08,$18.07,"$37,580",0.6%
33-9021,Private Detectives and Investigators,detail,"30,980",8.3%,0.217,$24.38,$26.48,"$55,080",2.2%
33-9030,Security Guards and Gaming Surveillance Officers,broad,"1,115,730",0.9%,7.827,$12.96,$14.80,"$30,780",0.6%
33-9031,Gaming Surveillance Officers and Gaming Investigators,detail,"10,290",3.7%,0.072,$15.99,$17.39,"$36,160",1.3%
33-9032,Security Guards,detail,"1,105,440",0.9%,7.755,$12.93,$14.78,"$30,730",0.7%
33-9090,Miscellaneous Protective Service Workers,broad,"399,960",1.2%,2.806,$12.58,$14.51,"$30,180",0.7%
33-9091,Crossing Guards,detail,"76,440",2.4%,0.536,$13.28,$14.50,"$30,170",1.0%
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",detail,"145,660",2.4%,1.022,$10.24,$11.33,"$23,570",1.1%
33-9093,Transportation Security Screeners,detail,"42,470",0.3%,0.298,$19.51,$19.69,"$40,960",0.6%
33-9099,"Protective Service Workers, All Other",detail,"135,390",2.0%,0.950,$14.54,$16.31,"$33,930",0.8%
35-0000,Food Preparation and Serving Related Occupations,major,"13,193,090",0.1%,92.551,$10.53,$11.88,"$24,710",0.2%
35-1010,Supervisors of Food Preparation and Serving Workers,broad,"1,058,870",0.5%,7.428,$16.06,$17.89,"$37,220",0.3%
35-1011,Chefs and Head Cooks,detail,"131,430",2.2%,0.922,$22.09,$23.87,"$49,650",1.0%
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,detail,"927,440",0.5%,6.506,$15.37,$17.05,"$35,460",0.3%
35-2000,Cooks and Food Preparation Workers,minor,"3,207,700",0.4%,22.502,$11.36,$12.04,"$25,040",0.2%
35-2010,Cooks,broad,"2,375,000",0.5%,16.661,$11.52,$12.23,"$25,440",0.2%
35-2011,"Cooks, Fast Food",detail,"503,780",1.8%,3.534,$10.12,$10.39,"$21,610",0.3%
35-2012,"Cooks, Institution and Cafeteria",detail,"404,120",0.7%,2.835,$12.43,$13.20,"$27,450",0.3%
35-2013,"Cooks, Private Household",detail,500,25.2%,0.003,$18.40,$20.67,"$42,990",10.5%
35-2014,"Cooks, Restaurant",detail,"1,276,510",0.7%,8.955,$12.10,$12.71,"$26,440",0.3%
35-2015,"Cooks, Short Order",detail,"174,230",3.2%,1.222,$10.93,$11.57,"$24,060",0.7%
35-2019,"Cooks, All Other",detail,"15,870",5.4%,0.111,$13.46,$14.38,"$29,900",1.0%
35-2021,Food Preparation Workers,detail,"832,690",1.2%,5.841,$10.93,$11.49,"$23,900",0.4%
35-3000,Food and Beverage Serving Workers,minor,"7,515,370",0.3%,52.721,$9.86,$11.16,"$23,220",0.2%
35-3011,Bartenders,detail,"613,350",0.9%,4.303,$10.43,$12.63,"$26,260",0.5%
35-3020,Fast Food and Counter Workers,broad,"4,053,160",0.5%,28.433,$9.73,$10.28,"$21,380",0.2%
35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",detail,"3,576,220",0.6%,25.088,$9.70,$10.21,"$21,230",0.2%
35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",detail,"476,940",2.0%,3.346,$10.23,$10.83,"$22,530",0.4%
35-3031,Waiters and Waitresses,detail,"2,584,220",0.5%,18.129,$10.01,$12.15,"$25,280",0.4%
35-3041,"Food Servers, Nonrestaurant",detail,"264,630",1.5%,1.856,$10.73,$11.61,"$24,150",0.4%
35-9000,Other Food Preparation and Serving Related Workers,minor,"1,411,160",0.7%,9.899,$10.33,$10.86,"$22,580",0.3%
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,detail,"436,730",1.3%,3.064,$10.18,$11.08,"$23,050",0.4%
35-9021,Dishwashers,detail,"503,540",1.0%,3.532,$10.34,$10.68,"$22,210",0.3%
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",detail,"414,540",1.2%,2.908,$10.06,$10.72,"$22,290",0.4%
35-9099,"Food Preparation and Serving Related Workers, All Other",detail,"56,350",4.9%,0.395,$10.88,$11.72,"$24,380",1.1%
37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,"4,424,440",0.3%,31.038,$12.32,$13.91,"$28,930",0.2%
37-1010,First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers,broad,"255,410",0.8%,1.792,$20.28,$21.82,"$45,380",0.4%
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,detail,"155,090",1.0%,1.088,$18.86,$20.37,"$42,380",0.5%
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",detail,"100,320",1.5%,0.704,$22.61,$24.05,"$50,020",0.5%
37-2000,Building Cleaning and Pest Control Workers,minor,"3,176,790",0.4%,22.286,$11.71,$13.06,"$27,170",0.2%
37-2010,Building Cleaning Workers,broad,"3,101,660",0.4%,21.759,$11.65,$12.95,"$26,940",0.2%
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",detail,"2,164,040",0.5%,15.181,$12.02,$13.41,"$27,900",0.3%
37-2012,Maids and Housekeeping Cleaners,detail,"922,660",0.8%,6.473,$10.99,$11.84,"$24,630",0.3%
37-2019,"Building Cleaning Workers, All Other",detail,"14,970",10.4%,0.105,$13.97,$15.23,"$31,690",2.5%
37-2021,Pest Control Workers,detail,"75,130",1.8%,0.527,$16.52,$17.60,"$36,610",1.1%
37-3010,Grounds Maintenance Workers,broad,"992,240",0.5%,6.961,$13.51,$14.58,"$30,330",0.3%
37-3011,Landscaping and Groundskeeping Workers,detail,"912,360",0.6%,6.400,$13.31,$14.28,"$29,700",0.3%
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",detail,"25,900",4.7%,0.182,$16.74,$17.97,"$37,370",1.4%
37-3013,Tree Trimmers and Pruners,detail,"41,140",5.5%,0.289,$17.53,$18.55,"$38,580",1.3%
37-3019,"Grounds Maintenance Workers, All Other",detail,"12,840",5.5%,0.090,$14.45,$16.75,"$34,850",2.3%
39-0000,Personal Care and Service Occupations,major,"5,159,100",0.5%,36.192,$11.35,$13.11,"$27,270",0.2%
39-1000,Supervisors of Personal Care and Service Workers,minor,"244,300",1.2%,1.714,$18.51,$20.04,"$41,690",0.4%
39-1010,First-Line Supervisors of Gaming Workers,broad,"30,670",2.8%,0.215,$23.49,$23.85,"$49,600",1.1%
39-1021,First-Line Supervisors of Personal Service Workers,detail,"213,620",1.3%,1.499,$18.01,$19.50,"$40,550",0.4%
39-2000,Animal Care and Service Workers,minor,"204,850",1.4%,1.437,$11.13,$12.42,"$25,840",0.5%
39-2011,Animal Trainers,detail,"14,340",5.5%,0.101,$13.88,$16.71,"$34,760",1.9%
39-2021,Nonfarm Animal Caretakers,detail,"190,520",1.4%,1.336,$11.03,$12.10,"$25,170",0.5%
39-3000,Entertainment Attendants and Related Workers,minor,"586,270",3.0%,4.113,$10.09,$11.25,"$23,390",0.4%
39-3010,Gaming Services Workers,broad,"115,130",2.9%,0.808,$9.73,$11.51,"$23,950",1.1%
39-3011,Gaming Dealers,detail,"94,260",2.7%,0.661,$9.53,$11.02,"$22,910",1.3%
39-3012,Gaming and Sports Book Writers and Runners,detail,"11,210",17.4%,0.079,$11.55,$13.25,"$27,550",1.8%
39-3019,"Gaming Service Workers, All Other",detail,"9,660",4.8%,0.068,$13.00,$14.38,"$29,910",1.4%
39-3021,Motion Picture Projectionists,detail,"5,700",9.2%,0.040,$10.60,$11.92,"$24,790",2.2%
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",detail,"124,710",2.2%,0.875,$10.01,$10.85,"$22,580",0.6%
39-3090,Miscellaneous Entertainment Attendants and Related Workers,broad,"340,740",4.5%,2.390,$10.27,$11.29,"$23,480",0.5%
39-3091,Amusement and Recreation Attendants,detail,"310,970",5.0%,2.182,$10.13,$10.94,"$22,760",0.5%
39-3092,Costume Attendants,detail,"6,430",7.4%,0.045,$20.49,$22.93,"$47,700",2.7%
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",detail,"17,950",3.4%,0.126,$10.98,$12.34,"$25,670",1.0%
39-3099,"Entertainment Attendants and Related Workers, All Other",detail,"5,390",8.8%,0.038,$11.63,$13.95,"$29,010",3.5%
39-4000,Funeral Service Workers,minor,"64,630",1.7%,0.453,$15.53,$19.12,"$39,780",1.1%
39-4011,Embalmers,detail,"4,200",7.6%,0.029,$20.57,$21.65,"$45,040",2.0%
39-4021,Funeral Attendants,detail,"34,970",2.4%,0.245,$12.04,$13.04,"$27,120",0.9%
39-4031,"Morticians, Undertakers, and Funeral Directors",detail,"25,460",2.6%,0.179,$24.93,$27.07,"$56,300",1.4%
39-5000,Personal Appearance Workers,minor,"536,550",0.7%,3.764,$11.73,$14.35,"$29,840",0.6%
39-5010,"Barbers, Hairdressers, Hairstylists and Cosmetologists",broad,"370,710",1.4%,2.601,$11.97,$14.66,"$30,480",0.7%
39-5011,Barbers,detail,"18,810",10.2%,0.132,$12.33,$14.65,"$30,480",2.6%
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",detail,"351,910",1.4%,2.469,$11.95,$14.66,"$30,490",0.7%
39-5090,Miscellaneous Personal Appearance Workers,broad,"165,830",3.0%,1.163,$11.44,$13.66,"$28,410",1.0%
39-5091,"Makeup Artists, Theatrical and Performance",detail,"3,540",8.2%,0.025,$28.51,$33.32,"$69,310",4.6%
39-5092,Manicurists and Pedicurists,detail,"104,020",4.8%,0.730,$11.17,$12.01,"$24,980",0.9%
39-5093,Shampooers,detail,"13,330",5.7%,0.094,$9.77,$10.41,"$21,650",1.2%
39-5094,Skincare Specialists,detail,"44,940",3.4%,0.315,$14.46,$16.89,"$35,130",1.6%
39-6010,"Baggage Porters, Bellhops, and Concierges",broad,"78,370",2.2%,0.550,$12.36,$14.00,"$29,110",0.8%
39-6011,Baggage Porters and Bellhops,detail,"42,620",3.1%,0.299,$11.17,$12.55,"$26,100",0.9%
39-6012,Concierges,detail,"35,750",3.1%,0.251,$14.49,$15.72,"$32,700",1.1%
39-7010,Tour and Travel Guides,broad,"46,140",2.7%,0.324,$12.39,$14.03,"$29,180",0.9%
39-9000,Other Personal Care and Service Workers,minor,"3,397,990",0.5%,23.837,$11.29,$12.63,"$26,280",0.3%
39-9011,Childcare Workers,detail,"562,420",1.1%,3.945,$10.72,$11.42,"$23,760",0.5%
39-9021,Personal Care Aides,detail,"2,035,610",0.7%,14.280,$11.11,$11.59,"$24,100",0.5%
39-9030,Recreation and Fitness Workers,broad,"632,430",0.8%,4.437,$13.72,$16.79,"$34,930",0.5%
39-9031,Fitness Trainers and Aerobics Instructors,detail,"280,080",1.3%,1.965,$18.85,$21.02,"$43,720",0.7%
39-9032,Recreation Workers,detail,"352,350",1.0%,2.472,$11.80,$13.44,"$27,950",0.4%
39-9041,Residential Advisors,detail,"110,720",1.7%,0.777,$12.90,$13.87,"$28,850",0.5%
39-9099,"Personal Care and Service Workers, All Other",detail,"56,820",2.9%,0.399,$12.45,$13.35,"$27,760",0.9%
41-0000,Sales and Related Occupations,major,"14,522,580",0.2%,101.878,$12.99,$19.56,"$40,680",0.2%
41-1010,First-Line Supervisors of Sales Workers,broad,"1,452,010",0.4%,10.186,$20.12,$24.27,"$50,480",0.2%
41-1011,First-Line Supervisors of Retail Sales Workers,detail,"1,200,180",0.4%,8.419,$18.54,$20.95,"$43,580",0.2%
41-1012,First-Line Supervisors of Non-Retail Sales Workers,detail,"251,830",0.8%,1.767,$34.45,$40.08,"$83,370",0.4%
41-2000,Retail Sales Workers,minor,"8,729,350",0.2%,61.237,$10.77,$12.29,"$25,560",0.2%
41-2010,Cashiers,broad,"3,588,960",0.5%,25.177,$10.12,$10.65,"$22,160",0.2%
41-2011,Cashiers,detail,"3,564,920",0.5%,25.008,$10.11,$10.64,"$22,130",0.2%
41-2012,Gaming Change Persons and Booth Cashiers,detail,"24,050",5.8%,0.169,$11.50,$12.48,"$25,950",0.9%
41-2020,Counter and Rental Clerks and Parts Salespersons,broad,"698,300",0.8%,4.899,$13.04,$14.85,"$30,890",0.3%
41-2021,Counter and Rental Clerks,detail,"445,530",1.0%,3.125,$12.41,$14.30,"$29,740",0.4%
41-2022,Parts Salespersons,detail,"252,770",1.2%,1.773,$14.13,$15.83,"$32,920",0.5%
41-2031,Retail Salespersons,detail,"4,442,090",0.4%,31.162,$11.16,$13.20,"$27,460",0.2%
41-3000,"Sales Representatives, Services",minor,"1,983,790",0.5%,13.917,$25.22,$33.50,"$69,680",0.5%
41-3011,Advertising Sales Agents,detail,"136,520",2.3%,0.958,$23.89,$29.34,"$61,020",0.9%
41-3021,Insurance Sales Agents,detail,"386,320",1.2%,2.710,$23.90,$32.21,"$66,990",0.9%
41-3031,"Securities, Commodities, and Financial Services Sales Agents",detail,"389,610",1.1%,2.733,$30.66,$46.85,"$97,440",1.4%
41-3041,Travel Agents,detail,"67,330",2.2%,0.472,$17.78,$19.64,"$40,840",1.0%
41-3099,"Sales Representatives, Services, All Other",detail,"1,004,020",0.7%,7.043,$25.24,$30.31,"$63,050",0.4%
41-4010,"Sales Representatives, Wholesale and Manufacturing",broad,"1,718,580",0.5%,12.056,$29.01,$34.88,"$72,540",0.4%
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",detail,"327,190",1.8%,2.295,$37.90,$44.24,"$92,010",0.9%
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",detail,"1,391,400",0.5%,9.761,$27.39,$32.67,"$67,960",0.3%
41-9000,Other Sales and Related Workers,minor,"638,860",1.1%,4.482,$16.17,$23.72,"$49,340",0.7%
41-9010,"Models, Demonstrators, and Product Promoters",broad,"88,500",3.8%,0.621,$12.97,$15.30,"$31,830",1.5%
41-9011,Demonstrators and Product Promoters,detail,"84,780",3.9%,0.595,$13.01,$15.30,"$31,830",1.5%
41-9012,Models,detail,"3,710",18.0%,0.026,$11.01,$15.32,"$31,870",6.0%
41-9020,Real Estate Brokers and Sales Agents,broad,"188,490",1.4%,1.322,$23.02,$30.35,"$63,130",1.1%
41-9021,Real Estate Brokers,detail,"40,530",3.1%,0.284,$27.28,$36.50,"$75,910",2.6%
41-9022,Real Estate Sales Agents,detail,"147,960",1.7%,1.038,$22.11,$28.67,"$59,630",1.1%
41-9031,Sales Engineers,detail,"70,820",2.2%,0.497,$47.46,$51.42,"$106,950",0.8%
41-9041,Telemarketers,detail,"189,670",2.8%,1.331,$11.76,$13.30,"$27,670",0.8%
41-9090,Miscellaneous Sales and Related Workers,broad,"101,380",1.7%,0.711,$15.79,$18.89,"$39,300",0.7%
41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",detail,"7,520",8.2%,0.053,$11.45,$13.59,"$28,260",2.7%
41-9099,"Sales and Related Workers, All Other",detail,"93,860",1.7%,0.658,$16.30,$19.32,"$40,180",0.7%
43-0000,Office and Administrative Support Occupations,major,"21,965,480",0.1%,154.090,$16.70,$18.24,"$37,950",0.1%
43-1011,First-Line Supervisors of Office and Administrative Support Workers,detail,"1,458,380",0.3%,10.231,$26.47,$28.14,"$58,540",0.1%
43-2000,Communications Equipment Operators,minor,"88,680",2.2%,0.622,$14.02,$15.09,"$31,390",0.5%
43-2011,"Switchboard Operators, Including Answering Service",detail,"80,380",2.3%,0.564,$13.80,$14.69,"$30,550",0.5%
43-2021,Telephone Operators,detail,"6,310",8.1%,0.044,$17.46,$18.47,"$38,410",2.5%
43-2099,"Communications Equipment Operators, All Other",detail,"1,980",5.8%,0.014,$19.94,$20.63,"$42,910",2.6%
43-3000,Financial Clerks,minor,"3,044,000",0.3%,21.354,$17.56,$18.55,"$38,580",0.1%
43-3011,Bill and Account Collectors,detail,"271,700",1.4%,1.906,$16.99,$18.10,"$37,650",0.4%
43-3021,Billing and Posting Clerks,detail,"476,010",0.8%,3.339,$17.72,$18.49,"$38,460",0.2%
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",detail,"1,532,340",0.4%,10.750,$18.87,$19.76,"$41,110",0.1%
43-3041,Gaming Cage Workers,detail,"17,030",8.2%,0.119,$12.65,$13.57,"$28,210",0.7%
43-3051,Payroll and Timekeeping Clerks,detail,"152,990",0.9%,1.073,$21.10,$21.61,"$44,950",0.3%
43-3061,Procurement Clerks,detail,"70,510",1.3%,0.495,$20.15,$20.35,"$42,320",0.3%
43-3071,Tellers,detail,"491,150",0.9%,3.445,$13.52,$13.89,"$28,880",0.2%
43-3099,"Financial Clerks, All Other",detail,"32,260",3.8%,0.226,$19.22,$20.49,"$42,630",0.9%
43-4000,Information and Record Clerks,minor,"5,694,680",0.3%,39.949,$15.51,$16.79,"$34,930",0.1%
43-4011,Brokerage Clerks,detail,"58,930",2.3%,0.413,$23.94,$25.41,"$52,850",0.6%
43-4021,Correspondence Clerks,detail,"6,370",4.4%,0.045,$17.61,$18.32,"$38,100",1.3%
43-4031,"Court, Municipal, and License Clerks",detail,"133,330",0.8%,0.935,$17.93,$19.11,"$39,760",0.6%
43-4041,"Credit Authorizers, Checkers, and Clerks",detail,"34,350",4.6%,0.241,$17.93,$19.07,"$39,670",0.7%
43-4051,Customer Service Representatives,detail,"2,767,790",0.5%,19.416,$15.81,$17.14,"$35,650",0.2%
43-4061,"Eligibility Interviewers, Government Programs",detail,"140,590",3.1%,0.986,$21.35,$21.45,"$44,620",0.6%
43-4071,File Clerks,detail,"118,840",1.3%,0.834,$14.48,$15.48,"$32,200",0.3%
43-4081,"Hotel, Motel, and Resort Desk Clerks",detail,"253,540",0.9%,1.779,$10.99,$11.66,"$24,250",0.4%
43-4111,"Interviewers, Except Eligibility and Loan",detail,"189,600",1.3%,1.330,$15.92,$16.62,"$34,570",0.4%
43-4121,"Library Assistants, Clerical",detail,"94,140",1.3%,0.660,$12.41,$13.54,"$28,170",0.6%
43-4131,Loan Interviewers and Clerks,detail,"227,430",1.6%,1.595,$18.78,$19.52,"$40,610",0.4%
43-4141,New Accounts Clerks,detail,"41,680",2.6%,0.292,$16.95,$17.58,"$36,560",0.6%
43-4151,Order Clerks,detail,"169,120",3.0%,1.186,$16.11,$16.99,"$35,330",0.9%
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",detail,"134,570",0.9%,0.944,$18.98,$19.57,"$40,700",0.2%
43-4171,Receptionists and Information Clerks,detail,"1,014,900",0.5%,7.120,$13.65,$14.25,"$29,640",0.2%
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,detail,"148,220",2.5%,1.040,$17.44,$19.16,"$39,850",0.9%
43-4199,"Information and Record Clerks, All Other",detail,"161,250",1.2%,1.131,$19.16,$19.56,"$40,690",0.3%
43-5000,"Material Recording, Scheduling, Dispatching, and Distributing Workers",minor,"4,152,650",0.3%,29.131,$14.95,$16.73,"$34,790",0.1%
43-5011,Cargo and Freight Agents,detail,"89,920",2.2%,0.631,$20.11,$21.62,"$44,980",0.8%
43-5021,Couriers and Messengers,detail,"76,710",2.6%,0.538,$13.58,$14.42,"$30,000",0.7%
43-5030,Dispatchers,broad,"293,970",0.8%,2.062,$18.79,$20.24,"$42,110",0.4%
43-5031,"Police, Fire, and Ambulance Dispatchers",detail,"95,450",0.8%,0.670,$19.06,$20.20,"$42,020",0.4%
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",detail,"198,520",1.2%,1.393,$18.65,$20.26,"$42,150",0.6%
43-5041,"Meter Readers, Utilities",detail,"33,860",2.7%,0.238,$18.86,$20.87,"$43,410",1.1%
43-5050,Postal Service Workers,broad,"531,750",0.0%,3.730,$27.53,$24.04,"$50,010",0.2%
43-5051,Postal Service Clerks,detail,"82,890",0.0%,0.581,$28.15,$23.91,"$49,730",0.2%
43-5052,Postal Service Mail Carriers,detail,"336,900",0.0%,2.363,$27.40,$24.05,"$50,020",0.2%
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",detail,"111,960",0.0%,0.785,$27.53,$24.12,"$50,160",0.4%
43-5061,"Production, Planning, and Expediting Clerks",detail,"336,000",0.8%,2.357,$22.44,$23.57,"$49,020",0.3%
43-5071,"Shipping, Receiving, and Traffic Clerks",detail,"671,780",0.7%,4.713,$15.29,$16.25,"$33,790",0.2%
43-5081,Stock Clerks and Order Fillers,detail,"2,046,040",0.5%,14.353,$11.77,$13.20,"$27,450",0.2%
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",detail,"72,630",2.0%,0.509,$14.51,$15.54,"$32,330",0.5%
43-6010,Secretaries and Administrative Assistants,broad,"3,613,300",0.3%,25.348,$18.21,$19.74,"$41,060",0.1%
43-6011,Executive Secretaries and Executive Administrative Assistants,detail,"596,080",0.6%,4.182,$27.60,$28.56,"$59,400",0.2%
43-6012,Legal Secretaries,detail,"185,870",1.5%,1.304,$21.51,$23.37,"$48,600",0.8%
43-6013,Medical Secretaries,detail,"576,520",0.8%,4.044,$16.64,$17.25,"$35,870",0.3%
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",detail,"2,254,820",0.4%,15.818,$17.11,$17.75,"$36,920",0.2%
43-9000,Other Office and Administrative Support Workers,minor,"3,913,800",0.4%,27.456,$15.66,$16.73,"$34,800",0.2%
43-9011,Computer Operators,detail,"40,400",2.6%,0.283,$21.28,$21.79,"$45,320",0.6%
43-9020,Data Entry and Information Processing Workers,broad,"245,300",1.2%,1.721,$15.85,$16.73,"$34,800",0.6%
43-9021,Data Entry Keyers,detail,"180,100",1.3%,1.263,$14.87,$15.64,"$32,530",0.3%
43-9022,Word Processors and Typists,detail,"65,200",2.8%,0.457,$19.11,$19.74,"$41,070",1.6%
43-9031,Desktop Publishers,detail,"12,000",3.6%,0.084,$20.36,$21.72,"$45,170",1.2%
43-9041,Insurance Claims and Policy Processing Clerks,detail,"277,130",1.7%,1.944,$18.65,$19.76,"$41,090",0.4%
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",detail,"85,800",2.0%,0.602,$14.24,$15.00,"$31,200",0.5%
43-9061,"Office Clerks, General",detail,"2,967,620",0.4%,20.818,$15.14,$16.30,"$33,910",0.2%
43-9071,"Office Machine Operators, Except Computer",detail,"54,950",2.9%,0.385,$15.08,$15.96,"$33,190",0.6%
43-9081,Proofreaders and Copy Markers,detail,"11,420",5.2%,0.080,$18.05,$19.43,"$40,410",1.6%
43-9111,Statistical Assistants,detail,"10,110",3.2%,0.071,$22.79,$23.60,"$49,090",0.8%
43-9199,"Office and Administrative Support Workers, All Other",detail,"209,070",1.3%,1.467,$17.11,$17.96,"$37,360",0.6%
45-0000,"Farming, Fishing, and Forestry Occupations",major,"470,920",1.2%,3.304,$11.73,$13.87,"$28,840",0.5%
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",detail,"20,750",2.5%,0.146,$22.39,$24.11,"$50,160",0.9%
45-2000,Agricultural Workers,minor,"404,610",1.3%,2.838,$11.46,$12.78,"$26,580",0.4%
45-2011,Agricultural Inspectors,detail,"13,960",2.1%,0.098,$20.86,$21.60,"$44,930",0.5%
45-2021,Animal Breeders,detail,"1,800",12.2%,0.013,$18.06,$20.89,"$43,450",2.9%
45-2041,"Graders and Sorters, Agricultural Products",detail,"39,810",4.2%,0.279,$11.22,$11.84,"$24,620",0.8%
45-2090,Miscellaneous Agricultural Workers,broad,"349,040",1.5%,2.449,$11.40,$12.49,"$25,990",0.4%
45-2091,Agricultural Equipment Operators,detail,"26,070",4.5%,0.183,$14.48,$15.12,"$31,440",1.0%
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",detail,"282,300",1.8%,1.980,$11.24,$12.05,"$25,070",0.5%
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",detail,"35,460",2.6%,0.249,$12.24,$13.38,"$27,840",0.7%
45-2099,"Agricultural Workers, All Other",detail,"5,210",6.5%,0.037,$14.71,$17.27,"$35,910",2.4%
45-3000,Fishing and Hunting Workers,minor,750,15.3%,0.005,$13.72,$15.06,"$31,330",6.2%
45-3011,Fishers and Related Fishing Workers,detail,520,14.4%,0.004,$13.61,$15.00,"$31,190",7.7%
45-4000,"Forest, Conservation, and Logging Workers",minor,"44,800",2.2%,0.314,$18.01,$18.91,"$39,330",1.0%
45-4011,Forest and Conservation Workers,detail,"7,080",4.8%,0.050,$13.30,$15.06,"$31,320",1.2%
45-4020,Logging Workers,broad,"37,730",2.5%,0.265,$18.67,$19.63,"$40,830",1.1%
45-4021,Fallers,detail,"5,420",13.8%,0.038,$19.56,$22.56,"$46,930",3.5%
45-4022,Logging Equipment Operators,detail,"26,010",2.7%,0.182,$18.46,$19.15,"$39,820",1.1%
45-4023,Log Graders and Scalers,detail,"3,010",6.6%,0.021,$18.21,$18.61,"$38,710",1.5%
45-4029,"Logging Workers, All Other",detail,"3,290",7.8%,0.023,$19.11,$19.58,"$40,730",3.0%
47-0000,Construction and Extraction Occupations,major,"5,728,460",0.3%,40.186,$21.51,$24.01,"$49,930",0.2%
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,detail,"556,300",0.6%,3.903,$30.80,$33.27,"$69,200",0.2%
47-2000,Construction Trades Workers,minor,"4,348,180",0.3%,30.503,$20.91,$23.37,"$48,620",0.2%
47-2011,Boilermakers,detail,"15,020",4.5%,0.105,$29.93,$30.30,"$63,010",1.2%
47-2020,"Brickmasons, Blockmasons, and Stonemasons",broad,"76,770",2.2%,0.539,$23.17,$24.84,"$51,670",1.0%
47-2021,Brickmasons and Blockmasons,detail,"64,790",2.3%,0.454,$23.93,$25.67,"$53,390",1.0%
47-2022,Stonemasons,detail,"11,990",7.2%,0.084,$18.72,$20.37,"$42,370",2.6%
47-2031,Carpenters,detail,"693,050",0.8%,4.862,$21.71,$23.86,"$49,630",0.4%
47-2040,"Carpet, Floor, and Tile Installers and Finishers",broad,"81,130",2.5%,0.569,$19.35,$21.65,"$45,030",1.3%
47-2041,Carpet Installers,detail,"26,120",5.0%,0.183,$18.67,$21.25,"$44,200",2.0%
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",detail,"11,860",6.6%,0.083,$19.25,$21.41,"$44,530",2.0%
47-2043,Floor Sanders and Finishers,detail,"4,320",10.7%,0.030,$17.77,$18.87,"$39,260",2.9%
